CLIENTNUM,idstatus,Customer_Age,Gender,Dependent_count,Educationid,Maritalid,Income_Category,card_categoryid,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio,Churn
806624208,1,47,M,4,1,1,Rp 3.000.000 - Rp 5.000.000,1,42,6,0,0,4785000.0,1362000,3423000.0,1045000,38,0.285,no
778348233,1,53,M,3,4,1,Rp 8.000.000 - Rp 15.000.000,1,33,3,2,3,2753000.0,1811000,942000.0,1038000,25,0.658,no
712991808,1,53,M,2,3,1,Rp 5.000.000 - Rp 8.000.000,1,48,2,5,1,2451000.0,1690000,761000.0,1596000,26,0.69,yes
709029408,1,41,M,4,2,1,Rp 5.000.000 - Rp 8.000.000,1,36,4,1,2,8923000.0,2517000,6406000.0,1589000,24,0.282,no
788658483,1,53,F,2,5,1,< Rp 3.000.000,1,38,5,2,3,2650000.0,1490000,1160000.0,1411000,28,0.562,no
787937058,1,58,M,0,2,1,Rp 8.000.000 - Rp 15.000.000,1,49,6,2,2,12555000.0,1696000,10859000.0,1291000,24,0.135,no
715318008,1,55,F,1,5,2,< Rp 3.000.000,1,36,4,2,1,3520000.0,1914000,1606000.0,1407000,43,0.544,no
713962233,1,55,F,3,2,1,< Rp 3.000.000,1,36,6,2,3,3035000.0,2298000,737000.0,1877000,37,0.757,no
785432733,1,42,F,4,1,1,< Rp 3.000.000,2,36,2,3,3,15433000.0,0,15433000.0,966000,22,0.0,no
715190283,1,57,F,1,2,3,Rp 3.000.000 - Rp 5.000.000,1,49,3,3,2,3672000.0,886000,2786000.0,1464000,28,0.241,no
708300483,2,66,F,0,7,1,Unknown,1,56,5,4,3,7882000.0,605000,7277000.0,704000,16,0.077,yes
827111283,1,45,M,3,2,2,Rp 8.000.000 - Rp 15.000.000,1,41,2,2,2,32426000.0,578000,31848000.0,1109000,28,0.018,no
758551608,1,51,M,2,4,1,Rp 3.000.000 - Rp 5.000.000,1,44,4,1,0,6205000.0,2204000,4001000.0,1347000,28,0.355,no
773146383,1,50,F,1,5,2,Rp 3.000.000 - Rp 5.000.000,3,43,3,2,3,17304000.0,2517000,14787000.0,1756000,33,0.145,no
778493808,1,49,M,3,1,1,Rp 5.000.000 - Rp 8.000.000,1,37,5,2,1,3906000.0,0,3906000.0,1756000,32,0.0,no
720572508,1,38,F,4,2,2,Unknown,1,28,2,3,3,9830000.0,2055000,7775000.0,1042000,23,0.209,no
712661433,1,49,M,4,3,2,Rp 8.000.000 - Rp 15.000.000,1,30,3,2,3,34516000.0,0,34516000.0,1444000,28,0.0,no
789172683,1,56,M,2,7,1,Rp 5.000.000 - Rp 8.000.000,1,45,6,2,0,2283000.0,1430000,853000.0,1741000,27,0.626,no
738406533,1,59,M,1,7,1,Rp 3.000.000 - Rp 5.000.000,1,52,3,2,2,2548000.0,2020000,528000.0,1719000,27,0.793,no
799723908,1,46,M,3,1,1,Rp 8.000.000 - Rp 15.000.000,1,40,4,3,3,19458000.0,1435000,18023000.0,1217000,27,0.074,no
771490833,1,52,M,1,5,2,Rp 8.000.000 - Rp 15.000.000,1,40,5,1,1,4745000.0,1227000,3518000.0,1140000,40,0.259,no
720756708,1,52,F,3,4,1,< Rp 3.000.000,1,41,6,3,2,2622000.0,1549000,1073000.0,1878000,30,0.591,no
779471883,2,54,F,1,2,1,< Rp 3.000.000,1,40,2,3,1,1438300.0,808000,630300.0,705000,19,0.562,no
711525033,1,66,F,0,1,1,< Rp 3.000.000,1,54,3,4,2,3171000.0,2179000,992000.0,1946000,38,0.687,yes
712813458,1,49,M,2,4,1,> Rp 15.000.000,1,36,4,2,0,19763000.0,2517000,17246000.0,1414000,35,0.127,no
714374133,2,56,M,2,2,1,> Rp 15.000.000,1,36,1,3,3,15769000.0,0,15769000.0,602000,15,0.0,no
717891558,1,49,F,4,2,3,< Rp 3.000.000,1,36,6,4,2,3298000.0,2200000,1098000.0,1052000,32,0.667,yes
716632758,1,49,F,3,2,2,< Rp 3.000.000,1,36,2,2,0,2802000.0,2363000,439000.0,1295000,40,0.843,no
768563658,1,56,M,2,3,1,Rp 3.000.000 - Rp 5.000.000,1,50,4,2,3,4458000.0,1880000,2578000.0,1424000,29,0.422,no
711427458,1,44,F,5,2,1,Unknown,1,35,4,1,2,6273000.0,978000,5295000.0,1359000,25,0.156,no
714091983,1,42,M,2,1,2,Rp 5.000.000 - Rp 8.000.000,1,34,4,4,3,3336000.0,1753000,1583000.0,1168000,27,0.525,yes
787584108,1,55,M,3,4,1,Rp 8.000.000 - Rp 15.000.000,1,47,4,2,3,3436000.0,2016000,1420000.0,1097000,33,0.587,no
712030833,2,48,M,2,2,1,Rp 5.000.000 - Rp 8.000.000,3,35,2,4,4,34516000.0,0,34516000.0,691000,15,0.0,yes
711481533,1,39,M,1,1,0,Rp 5.000.000 - Rp 8.000.000,1,33,5,3,3,5926000.0,1251000,4675000.0,1316000,28,0.211,no
710082708,1,44,M,4,6,2,> Rp 15.000.000,1,32,2,4,2,23957000.0,2102000,21855000.0,1276000,26,0.088,yes
708155733,1,53,M,2,1,2,> Rp 15.000.000,1,44,4,2,2,14734000.0,1634000,13100000.0,1289000,23,0.111,no
788979258,1,51,M,4,3,2,Rp 8.000.000 - Rp 15.000.000,3,38,4,1,4,34516000.0,1515000,33001000.0,1293000,32,0.044,no
807986133,1,57,M,2,5,1,Rp 5.000.000 - Rp 8.000.000,1,52,5,3,3,6584000.0,1817000,4767000.0,1353000,35,0.276,no
788730933,1,44,F,2,3,2,< Rp 3.000.000,1,20,6,3,3,2084000.0,1468000,616000.0,1132000,28,0.704,no
711314058,1,49,M,2,2,1,Rp 5.000.000 - Rp 8.000.000,1,32,2,2,2,1687000.0,1107000,580000.0,1670000,17,0.656,no
717975333,1,50,M,2,7,1,Rp 8.000.000 - Rp 15.000.000,1,38,6,2,2,25300000.0,1330000,23970000.0,837000,15,0.053,no
715971108,1,51,M,4,2,2,> Rp 15.000.000,1,42,3,2,3,34516000.0,1763000,32753000.0,1550000,41,0.051,no
720096558,1,55,F,2,2,1,< Rp 3.000.000,1,42,5,3,3,2216000.0,1034000,1182000.0,1540000,36,0.467,no
719580033,1,54,M,1,2,3,Rp 5.000.000 - Rp 8.000.000,1,43,4,2,3,2910000.0,2030000,880000.0,1256000,21,0.698,no
820582308,1,42,M,5,3,1,Rp 8.000.000 - Rp 15.000.000,1,37,6,2,2,22913000.0,1528000,21385000.0,1394000,35,0.067,no
789973308,1,44,M,1,5,2,Rp 5.000.000 - Rp 8.000.000,1,35,3,3,3,24312000.0,1932000,22380000.0,1341000,24,0.079,no
712876233,1,53,M,2,2,2,Rp 8.000.000 - Rp 15.000.000,1,36,5,3,2,5272000.0,1515000,3757000.0,1289000,33,0.287,no
804595158,1,44,F,4,2,2,< Rp 3.000.000,1,36,6,4,2,7000000.0,2517000,4483000.0,1112000,23,0.36,yes
714826758,1,37,F,3,3,2,< Rp 3.000.000,1,29,4,4,2,7038000.0,1801000,5237000.0,2339000,57,0.256,yes
779058108,1,49,M,3,2,0,Rp 5.000.000 - Rp 8.000.000,1,30,6,1,2,2536000.0,1823000,713000.0,1468000,23,0.719,no
710790258,1,47,M,2,2,1,Rp 8.000.000 - Rp 15.000.000,1,38,6,3,2,28904000.0,1899000,27005000.0,1334000,35,0.066,no
715623483,1,47,M,3,2,1,Rp 5.000.000 - Rp 8.000.000,1,37,4,4,0,8567000.0,1695000,6872000.0,1457000,41,0.198,yes
715156383,1,44,M,1,4,3,> Rp 15.000.000,1,36,6,2,2,34516000.0,1533000,32983000.0,1603000,29,0.044,no
711013983,2,55,F,4,4,1,Rp 3.000.000 - Rp 5.000.000,1,45,2,4,3,2158000.0,0,2158000.0,615000,12,0.0,yes
755420433,1,59,F,1,2,1,Unknown,1,52,2,3,3,10133000.0,1417000,8716000.0,1068000,20,0.14,no
794543958,1,53,M,1,2,0,Rp 8.000.000 - Rp 15.000.000,1,35,5,4,2,34516000.0,1219000,33297000.0,1590000,27,0.035,yes
716396358,1,52,M,2,2,1,Rp 5.000.000 - Rp 8.000.000,1,47,5,3,0,3085000.0,1910000,1175000.0,1531000,35,0.619,no
715398033,1,53,M,2,1,2,> Rp 15.000.000,1,35,4,2,1,19040000.0,2056000,16984000.0,1212000,31,0.108,no
711743883,1,43,F,3,3,2,< Rp 3.000.000,1,35,5,2,3,4026000.0,0,4026000.0,1237000,32,0.0,no
719720058,1,44,M,3,1,2,Rp 5.000.000 - Rp 8.000.000,1,31,4,3,1,12756000.0,837000,11919000.0,1413000,14,0.066,no
778992108,1,57,M,2,4,1,> Rp 15.000.000,1,45,5,3,3,5266000.0,0,5266000.0,1516000,29,0.0,no
717539808,1,51,F,2,1,2,< Rp 3.000.000,1,36,3,2,2,9930000.0,0,9930000.0,1276000,21,0.0,no
714070758,1,49,M,4,1,2,Rp 8.000.000 - Rp 15.000.000,1,38,4,3,0,31302000.0,1953000,29349000.0,1564000,35,0.062,no
714107958,1,45,M,1,2,2,Rp 3.000.000 - Rp 5.000.000,1,36,4,4,3,6576000.0,0,6576000.0,1465000,34,0.0,yes
789140283,1,53,M,0,2,2,Rp 8.000.000 - Rp 15.000.000,1,42,5,4,1,2664000.0,2037000,627000.0,1286000,29,0.765,yes
715550508,1,45,F,3,4,1,Unknown,1,28,5,1,2,2535000.0,2440000,95000.0,1312000,20,0.963,no
719712633,1,64,M,1,2,1,< Rp 3.000.000,1,52,6,4,3,1709000.0,895000,814000.0,1673000,32,0.524,yes
772629333,1,45,M,3,2,1,Rp 3.000.000 - Rp 5.000.000,1,35,5,4,2,3454000.0,1200000,2254000.0,1313000,30,0.347,yes
720336708,1,53,M,3,7,1,Rp 3.000.000 - Rp 5.000.000,1,35,5,3,2,3789000.0,1706000,2083000.0,1609000,42,0.45,no
802013583,1,56,M,3,5,1,> Rp 15.000.000,1,50,3,2,0,9689000.0,2250000,7439000.0,1158000,19,0.232,no
711887583,2,47,M,2,4,1,Rp 8.000.000 - Rp 15.000.000,1,37,2,3,3,5449000.0,1628000,3821000.0,836000,18,0.299,no
714778833,1,49,F,3,5,2,Unknown,1,43,4,4,0,23032000.0,1960000,21072000.0,1289000,22,0.085,yes
713843283,1,41,F,3,4,1,Unknown,3,34,5,3,3,34516000.0,2053000,32463000.0,1487000,26,0.059,no
779155158,1,53,M,3,2,1,> Rp 15.000.000,1,34,6,2,2,2940000.0,1264000,1676000.0,1259000,33,0.43,no
721091583,1,44,F,2,2,2,< Rp 3.000.000,1,32,3,3,3,3031000.0,1879000,1152000.0,1298000,15,0.62,no
713572683,1,44,M,3,1,3,Rp 5.000.000 - Rp 8.000.000,1,25,3,3,0,1862000.0,0,1862000.0,1226000,34,0.0,no
716657058,1,43,F,4,6,1,< Rp 3.000.000,1,33,2,3,3,8358000.0,926000,7432000.0,1566000,37,0.111,no
779509983,1,53,M,2,6,2,> Rp 15.000.000,1,36,6,1,2,34516000.0,931000,33585000.0,1022000,21,0.027,no
717929133,1,44,M,1,3,1,Rp 5.000.000 - Rp 8.000.000,1,36,5,2,3,14450000.0,2440000,12010000.0,1235000,30,0.169,no
808284783,1,62,F,1,4,1,< Rp 3.000.000,1,56,6,0,0,1438300.0,0,1438300.0,1951000,44,0.0,no
708476808,1,54,M,4,4,0,> Rp 15.000.000,1,36,6,3,2,33791000.0,1960000,31831000.0,1047000,31,0.058,no
710916408,1,57,M,4,2,1,Rp 5.000.000 - Rp 8.000.000,1,39,4,3,0,8466000.0,1886000,6580000.0,1342000,32,0.223,no
708492558,1,42,M,3,4,1,Rp 5.000.000 - Rp 8.000.000,1,36,5,3,3,15088000.0,865000,14223000.0,1107000,21,0.057,no
799825758,1,42,M,4,1,0,Rp 5.000.000 - Rp 8.000.000,1,36,5,1,2,3263000.0,1674000,1589000.0,1251000,35,0.513,no
718619883,1,54,F,0,3,1,< Rp 3.000.000,1,36,2,2,2,1494000.0,706000,788000.0,1305000,24,0.473,no
711844758,1,48,M,3,2,2,Rp 8.000.000 - Rp 15.000.000,1,35,6,1,0,13551000.0,1294000,12257000.0,1388000,37,0.095,no
714798783,1,49,M,1,2,2,Rp 8.000.000 - Rp 15.000.000,1,36,6,2,2,18886000.0,895000,17991000.0,1235000,18,0.047,no
826762908,1,52,M,3,1,3,Rp 8.000.000 - Rp 15.000.000,1,48,3,2,0,11976000.0,1273000,10703000.0,2089000,36,0.106,no
771894558,1,50,M,3,1,2,Rp 8.000.000 - Rp 15.000.000,1,39,4,1,4,9964000.0,1559000,8405000.0,1626000,25,0.156,no
721074183,1,49,M,1,7,1,Rp 5.000.000 - Rp 8.000.000,1,36,4,6,3,24159000.0,1196000,22963000.0,1111000,24,0.05,yes
715259583,1,53,F,2,1,1,< Rp 3.000.000,1,44,3,2,3,5362000.0,1901000,3461000.0,1553000,38,0.355,no
718414008,1,50,M,2,2,2,> Rp 15.000.000,1,36,3,2,2,34516000.0,1023000,33493000.0,1064000,13,0.03,no
719666283,1,55,F,1,7,1,< Rp 3.000.000,1,36,4,1,0,3174000.0,1951000,1223000.0,1243000,29,0.615,no
714877233,1,53,M,1,1,1,Rp 8.000.000 - Rp 15.000.000,1,47,3,2,2,12262000.0,1836000,10426000.0,1659000,38,0.15,no
785387883,1,47,F,3,1,2,Rp 3.000.000 - Rp 5.000.000,1,41,4,3,3,3788000.0,1540000,2248000.0,1594000,47,0.407,no
771075258,1,55,M,2,5,2,> Rp 15.000.000,3,42,2,3,2,34516000.0,1527000,32989000.0,1268000,42,0.044,no
711318033,1,47,M,3,2,2,Rp 5.000.000 - Rp 8.000.000,1,36,4,2,2,2926000.0,0,2926000.0,1304000,24,0.0,no
783554958,1,58,M,4,2,2,> Rp 15.000.000,1,52,6,1,0,32090000.0,0,32090000.0,1368000,30,0.0,no
720201033,2,53,M,2,2,1,Rp 8.000.000 - Rp 15.000.000,1,41,3,3,2,11669000.0,2227000,9442000.0,720000,23,0.191,no
718039683,1,52,M,2,1,2,Rp 3.000.000 - Rp 5.000.000,1,45,3,1,2,13532000.0,1300000,12232000.0,1521000,29,0.096,no
710806083,1,50,F,1,3,3,< Rp 3.000.000,3,36,4,2,2,11888000.0,2090000,9798000.0,1137000,30,0.176,no
714752208,1,42,F,1,2,1,< Rp 3.000.000,1,36,5,1,2,2393000.0,1985000,408000.0,978000,16,0.83,no
822063408,1,43,M,4,4,1,Rp 3.000.000 - Rp 5.000.000,1,39,5,1,2,6111000.0,2517000,3594000.0,1221000,16,0.412,no
714490308,1,57,M,4,2,1,Rp 8.000.000 - Rp 15.000.000,1,46,3,2,3,19270000.0,1662000,17608000.0,1565000,28,0.086,no
713356833,1,52,M,1,2,1,Rp 8.000.000 - Rp 15.000.000,1,43,3,1,4,3710000.0,2517000,1193000.0,1578000,34,0.678,no
711402333,1,47,M,2,7,2,< Rp 3.000.000,1,37,2,1,3,3235000.0,797000,2438000.0,1493000,32,0.246,no
708296883,1,44,F,3,2,2,Rp 3.000.000 - Rp 5.000.000,1,38,3,1,0,11749000.0,788000,10961000.0,1178000,27,0.067,no
719154483,1,53,M,2,1,0,Rp 5.000.000 - Rp 8.000.000,1,36,5,3,2,7753000.0,2100000,5653000.0,991000,26,0.271,no
717721458,1,45,M,4,5,0,Rp 5.000.000 - Rp 8.000.000,1,40,5,1,0,10408000.0,1186000,9222000.0,2560000,42,0.114,no
711112683,1,63,F,1,5,1,Unknown,1,36,6,2,3,3967000.0,1568000,2399000.0,1657000,29,0.395,no
715674483,1,39,F,2,6,2,< Rp 3.000.000,1,27,4,2,2,6205000.0,2517000,3688000.0,1204000,19,0.406,no
789322833,2,48,F,5,1,1,< Rp 3.000.000,1,38,1,3,3,8025000.0,0,8025000.0,673000,18,0.0,no
789968058,1,51,M,1,4,2,> Rp 15.000.000,1,42,6,2,3,9036000.0,2327000,6709000.0,1131000,18,0.258,no
709919283,1,54,M,4,2,1,Rp 8.000.000 - Rp 15.000.000,1,34,2,3,2,14926000.0,2517000,12409000.0,1576000,25,0.169,no
718744008,1,59,F,1,2,2,< Rp 3.000.000,1,36,3,2,3,6335000.0,1128000,5207000.0,1217000,20,0.178,no
767712558,2,59,M,1,5,2,Rp 5.000.000 - Rp 8.000.000,1,53,2,3,3,14979000.0,0,14979000.0,530000,10,0.0,no
712950783,2,48,F,4,3,1,< Rp 3.000.000,1,38,3,2,3,2732000.0,0,2732000.0,739000,16,0.0,no
716104983,1,41,F,2,2,2,< Rp 3.000.000,1,32,6,3,2,2250000.0,2117000,133000.0,1617000,31,0.941,no
818839983,1,55,M,2,2,1,> Rp 15.000.000,1,50,3,2,0,10916000.0,1536000,9380000.0,1592000,34,0.141,no
772288758,1,47,F,4,2,1,Unknown,1,36,4,1,3,5349000.0,1228000,4121000.0,1343000,30,0.23,no
712350858,1,41,M,2,1,1,Rp 8.000.000 - Rp 15.000.000,1,24,4,1,3,9366000.0,1104000,8262000.0,1303000,39,0.118,no
711009708,1,40,M,3,1,2,Rp 8.000.000 - Rp 15.000.000,1,28,5,1,0,21617000.0,0,21617000.0,1351000,22,0.0,no
712720158,1,68,M,1,2,1,Unknown,1,56,5,2,3,13860000.0,1652000,12208000.0,1910000,32,0.119,no
712215258,1,50,F,1,2,2,Rp 3.000.000 - Rp 5.000.000,3,31,2,2,3,18386000.0,0,18386000.0,1298000,22,0.0,no
773827008,1,47,M,4,3,2,Rp 5.000.000 - Rp 8.000.000,1,41,6,2,2,2405000.0,1540000,865000.0,1087000,29,0.64,no
795232683,1,53,F,1,5,1,< Rp 3.000.000,1,47,4,2,3,2154000.0,930000,1224000.0,1439000,26,0.432,no
713786508,1,42,F,5,4,1,Rp 3.000.000 - Rp 5.000.000,1,36,3,3,3,2038000.0,0,2038000.0,1238000,28,0.0,no
713539833,1,48,F,4,1,2,Rp 3.000.000 - Rp 5.000.000,1,38,6,1,3,8135000.0,0,8135000.0,1716000,29,0.0,no
712454058,1,49,M,1,7,1,> Rp 15.000.000,1,38,6,1,3,9364000.0,618000,8746000.0,1099000,27,0.066,no
718759833,1,44,F,2,3,1,Unknown,3,35,4,3,2,32643000.0,0,32643000.0,1058000,24,0.0,no
718803333,1,43,F,4,2,0,< Rp 3.000.000,1,34,2,3,1,3195000.0,1954000,1241000.0,1285000,29,0.612,no
720253908,1,56,M,0,1,1,Rp 8.000.000 - Rp 15.000.000,1,43,5,2,1,2852000.0,1024000,1828000.0,1651000,28,0.359,no
714133158,1,59,F,1,5,2,Unknown,1,36,2,3,3,4224000.0,1305000,2919000.0,1152000,31,0.309,no
713187033,1,46,M,1,3,1,Rp 5.000.000 - Rp 8.000.000,1,36,3,2,2,20459000.0,2071000,18388000.0,1767000,38,0.101,no
714791208,1,47,F,4,4,0,< Rp 3.000.000,1,41,6,5,3,3482000.0,2114000,1368000.0,1039000,24,0.607,yes
772426383,1,50,F,4,3,1,Rp 3.000.000 - Rp 5.000.000,1,40,5,2,3,3065000.0,1570000,1495000.0,1130000,28,0.512,no
710975883,1,51,F,3,3,1,< Rp 3.000.000,1,43,3,1,2,2185000.0,1761000,424000.0,1645000,30,0.806,no
714264408,1,47,F,3,3,1,< Rp 3.000.000,1,36,4,1,0,1611000.0,746000,865000.0,1413000,29,0.463,no
715827858,1,58,F,4,3,1,< Rp 3.000.000,1,47,3,3,3,2822000.0,2173000,649000.0,1218000,23,0.77,no
713741358,2,46,M,5,2,2,Rp 8.000.000 - Rp 15.000.000,1,33,6,3,3,32975000.0,2517000,30458000.0,597000,17,0.076,no
709531908,1,53,M,3,1,1,Rp 5.000.000 - Rp 8.000.000,1,47,5,2,2,1438300.0,0,1438300.0,2184000,53,0.0,no
716493408,1,45,F,4,3,0,Unknown,1,36,4,3,3,15875000.0,1719000,14156000.0,1592000,37,0.108,no
714141108,1,52,F,1,1,1,< Rp 3.000.000,1,45,6,3,3,6703000.0,893000,5810000.0,1388000,28,0.133,no
708953883,2,53,M,2,4,1,Rp 8.000.000 - Rp 15.000.000,1,36,2,2,1,3212000.0,0,3212000.0,757000,20,0.0,no
712608783,1,50,M,2,1,1,Rp 8.000.000 - Rp 15.000.000,3,45,3,1,3,34516000.0,1260000,33256000.0,1504000,34,0.037,no
820353558,1,41,F,3,1,1,Rp 3.000.000 - Rp 5.000.000,1,36,4,1,2,9797000.0,1434000,8363000.0,1503000,34,0.146,no
714964758,1,45,F,5,2,0,Rp 3.000.000 - Rp 5.000.000,1,36,5,2,2,10400000.0,1777000,8623000.0,1105000,28,0.171,no
716264358,1,53,M,3,3,1,Rp 8.000.000 - Rp 15.000.000,1,42,2,1,2,26792000.0,1836000,24956000.0,2398000,47,0.069,no
717296808,1,67,F,1,2,1,< Rp 3.000.000,1,56,4,3,2,3006000.0,2517000,489000.0,1661000,32,0.837,no
712977183,1,57,F,2,3,2,Rp 3.000.000 - Rp 5.000.000,3,36,6,3,0,19482000.0,1072000,18410000.0,1421000,22,0.055,no
710829108,1,59,F,1,3,1,Rp 3.000.000 - Rp 5.000.000,1,36,4,2,3,3356000.0,985000,2371000.0,999000,28,0.294,no
779562633,1,45,M,2,3,1,Rp 3.000.000 - Rp 5.000.000,1,34,3,2,1,5771000.0,2248000,3523000.0,1387000,18,0.39,no
715315833,1,51,M,3,2,1,Rp 8.000.000 - Rp 15.000.000,1,36,6,2,3,11106000.0,2107000,8999000.0,1243000,24,0.19,no
815500983,1,59,F,1,3,1,< Rp 3.000.000,1,54,5,3,0,2890000.0,2001000,889000.0,1860000,36,0.692,no
719360583,1,53,M,1,2,1,Rp 5.000.000 - Rp 8.000.000,1,45,6,2,2,3380000.0,1701000,1679000.0,1502000,25,0.503,no
709701558,1,47,M,3,2,1,Rp 5.000.000 - Rp 8.000.000,1,36,2,1,2,21331000.0,1251000,20080000.0,1460000,50,0.059,no
721148358,1,49,F,3,3,2,Unknown,1,38,6,2,1,12860000.0,0,12860000.0,1348000,27,0.0,no
779862408,1,49,M,3,6,2,Rp 8.000.000 - Rp 15.000.000,1,33,3,1,0,6278000.0,462000,5816000.0,1087000,33,0.074,no
812627208,1,60,F,0,5,2,< Rp 3.000.000,1,55,5,1,3,1438300.0,738000,700300.0,1226000,33,0.513,no
711033408,1,50,F,2,1,1,< Rp 3.000.000,1,36,5,1,2,9355000.0,1626000,7729000.0,1230000,28,0.174,no
779956608,1,41,F,2,6,1,Unknown,1,31,6,1,3,20758000.0,0,20758000.0,1555000,32,0.0,no
780376683,1,57,M,1,2,1,Rp 8.000.000 - Rp 15.000.000,1,47,5,3,1,14612000.0,1976000,12636000.0,1827000,24,0.135,no
717912483,1,43,M,4,2,3,Rp 8.000.000 - Rp 15.000.000,1,27,5,2,0,27259000.0,0,27259000.0,1376000,35,0.0,no
714454758,1,57,F,3,2,1,< Rp 3.000.000,1,47,4,2,3,6347000.0,1594000,4753000.0,1771000,37,0.251,no
780466533,1,54,M,3,7,1,> Rp 15.000.000,1,41,3,3,0,21592000.0,1676000,19916000.0,1873000,52,0.078,no
715735233,1,51,F,5,6,1,< Rp 3.000.000,1,44,5,1,1,3449000.0,1598000,1851000.0,1679000,42,0.463,no
720476733,1,47,F,3,1,1,< Rp 3.000.000,1,34,2,1,2,6028000.0,799000,5229000.0,1002000,22,0.133,no
